Media\CEHT.png,"*_Vieillissement_*\n\n
La fiaibilité des Systèmes d'Isolation Electrique est un point critique de l'électrification des systèmes. Les performances initiales doivent être maintenues avec un niveau de certitude élevée face à des contraintes multiples :\n\n
- Thermiques (isothermes, cyclage, choc)\n
- Electriques (DC, AC, décharges) \n
- Mécaniques (vibration, contrainte) \n
- Chimiques \n\n
et à leurs couplages."
Media\CEHD.png,"*Bold* and _Underlined_ Text,\nLine Break"
Media\CEHF.png,test 3
Media\4.png,test 4
Media\5.png,"*_IA pour les systèmes critiques_*\n\n
Les récents progrès en Intelligence Artificielle, notamment en termes de Machine Learning, ont suscité un intérêt sans précédents, surtout de la part des industriels. Cependant, des obstacles scientifiques persistent encore."
Media\6.png,test 6
Media\7.png,test 7
Media\8.png,"*_Matériaux composites_*\n\n
Notre centre de compétences répond aux besoins de compétitivité industrielle en participant au développement de structures aéronautiques et spatiales plus légères, à la fois résistantes et multifonctionnelles grâce à l’utilisation de matériaux composites hautes performances.
"
Media\9.png,test 9
Media\10.png,test 10
Media\11.png,test 11
Media\12.png,test 12
